Month,West,East
Jan,299,"7,707"
Feb,299,"7,707"
Mar,"4,249","19,088"
Apr,"4,249","19,088"
May,"2,459","6,612"
Jun,"2,459","6,612"
Jul,"3,328","5,352"
Aug,"3,328","5,352"
Sep,"1,767","18,479"
Oct,"1,767","18,479"
Nov,212,"2,844"
Dec,212,"2,844"
