date,zones,landings
8/1/2020,west,3170
8/2/2020,west,3170
8/3/2020,west,3170
8/4/2020,west,3170
8/5/2020,west,3170
8/6/2020,west,3170
8/7/2020,west,3170
8/8/2020,west,3170
8/9/2020,west,3170
8/10/2020,west,3170
8/11/2020,west,3170
8/12/2020,west,3170
8/13/2020,west,3170
8/14/2020,west,3170
8/15/2020,west,3170
8/16/2020,west,3170
8/17/2020,west,3170
8/18/2020,west,3170
8/19/2020,west,3170
8/20/2020,west,3170
8/21/2020,west,3170
8/22/2020,west,3170
8/23/2020,west,3170
8/24/2020,west,3170
8/25/2020,west,3170
8/26/2020,west,3170
8/27/2020,west,3170
8/28/2020,west,3170
8/29/2020,west,3170
8/30/2020,west,3170
8/31/2020,west,3170
9/1/2020,west,1453
9/2/2020,west,1453
9/3/2020,west,1453
9/4/2020,west,1453
9/5/2020,west,1453
9/6/2020,west,1453
9/7/2020,west,1453
9/8/2020,west,1453
9/9/2020,west,1453
9/10/2020,west,1453
9/11/2020,west,1453
9/12/2020,west,1453
9/13/2020,west,1453
9/14/2020,west,1453
9/15/2020,west,1453
9/16/2020,west,1453
9/17/2020,west,1453
9/18/2020,west,1453
9/19/2020,west,1453
9/20/2020,west,1453
9/21/2020,west,1453
9/22/2020,west,1453
9/23/2020,west,1453
9/24/2020,west,1453
9/25/2020,west,1453
9/26/2020,west,1453
9/27/2020,west,1453
9/28/2020,west,1453
9/29/2020,west,1453
9/30/2020,west,1453
10/1/2020,west,1453
10/2/2020,west,1453
10/3/2020,west,1453
10/4/2020,west,1453
10/5/2020,west,1453
10/6/2020,west,1453
10/7/2020,west,1453
10/8/2020,west,1453
10/9/2020,west,1453
10/10/2020,west,1453
10/11/2020,west,1453
10/12/2020,west,1453
10/13/2020,west,1453
10/14/2020,west,1453
10/15/2020,west,1453
10/16/2020,west,1453
10/17/2020,west,1453
10/18/2020,west,1453
10/19/2020,west,1453
10/20/2020,west,1453
10/21/2020,west,1453
10/22/2020,west,1453
10/23/2020,west,1453
10/24/2020,west,1453
10/25/2020,west,1453
10/26/2020,west,1453
10/27/2020,west,1453
10/28/2020,west,1453
10/29/2020,west,1453
10/30/2020,west,1453
10/31/2020,west,1453
11/1/2020,west,206
11/2/2020,west,206
11/3/2020,west,206
11/4/2020,west,206
11/5/2020,west,206
11/6/2020,west,206
11/7/2020,west,206
11/8/2020,west,206
11/9/2020,west,206
11/10/2020,west,206
11/11/2020,west,206
11/12/2020,west,206
11/13/2020,west,206
11/14/2020,west,206
11/15/2020,west,206
11/16/2020,west,206
11/17/2020,west,206
11/18/2020,west,206
11/19/2020,west,206
11/20/2020,west,206
11/21/2020,west,206
11/22/2020,west,206
11/23/2020,west,206
11/24/2020,west,206
11/25/2020,west,206
11/26/2020,west,206
11/27/2020,west,206
11/28/2020,west,206
11/29/2020,west,206
11/30/2020,west,206
12/1/2020,west,206
12/2/2020,west,206
12/3/2020,west,206
12/4/2020,west,206
12/5/2020,west,206
12/6/2020,west,206
12/7/2020,west,206
12/8/2020,west,206
12/9/2020,west,206
12/10/2020,west,206
12/11/2020,west,206
12/12/2020,west,206
12/13/2020,west,206
12/14/2020,west,206
12/15/2020,west,206
12/16/2020,west,206
12/17/2020,west,206
12/18/2020,west,206
12/19/2020,west,206
12/20/2020,west,206
12/21/2020,west,206
12/22/2020,west,206
12/23/2020,west,206
12/24/2020,west,206
12/25/2020,west,206
12/26/2020,west,206
12/27/2020,west,206
12/28/2020,west,206
12/29/2020,west,206
12/30/2020,west,206
12/31/2020,west,206
1/1/2021,west,299
1/2/2021,west,299
1/3/2021,west,299
1/4/2021,west,299
1/5/2021,west,299
1/6/2021,west,299
1/7/2021,west,299
1/8/2021,west,299
1/9/2021,west,299
1/10/2021,west,299
1/11/2021,west,299
1/12/2021,west,299
1/13/2021,west,299
1/14/2021,west,299
1/15/2021,west,299
1/16/2021,west,299
1/17/2021,west,299
1/18/2021,west,299
1/19/2021,west,299
1/20/2021,west,299
1/21/2021,west,299
1/22/2021,west,299
1/23/2021,west,299
1/24/2021,west,299
1/25/2021,west,299
1/26/2021,west,299
1/27/2021,west,299
1/28/2021,west,299
1/29/2021,west,299
1/30/2021,west,299
1/31/2021,west,299
2/1/2021,west,299
2/2/2021,west,299
2/3/2021,west,299
2/4/2021,west,299
2/5/2021,west,299
2/6/2021,west,299
2/7/2021,west,299
2/8/2021,west,299
2/9/2021,west,299
2/10/2021,west,299
2/11/2021,west,299
2/12/2021,west,299
2/13/2021,west,299
2/14/2021,west,299
2/15/2021,west,299
2/16/2021,west,299
2/17/2021,west,299
2/18/2021,west,299
2/19/2021,west,299
2/20/2021,west,299
