Month,West,North,South
Jan,299,"6,079","1,628"
Feb,299,"6,079","1,628"
Mar,"4,249","16,366","2,722"
Apr,"4,249","16,366","2,722"
May,"2,459","5,510","1,102"
Jun,"2,459","5,510","1,102"
Jul,"3,328","5,269",83
Aug,"3,328","5,269",83
Sep,"1,767","9,278","9,201"
Oct,"1,767","9,278","9,201"
Nov,212,"2,571",273
Dec,212,"2,571",273
