Month,Gulf
Jan,"8,006"
Feb,"8,006"
Mar,"23,337"
Apr,"23,337"
May,"9,071"
Jun,"9,071"
Jul,"8,680"
Aug,"8,680"
Sep,"20,246"
Oct,"20,246"
Nov,"3,056"
Dec,"3,056"
